Frame,Target_frequency,Frequency,AF7,Fp1,Fp2,AF8,F3,F4,P3,P4,PO7,O1,O2,PO8
0.0,15.0,15.0,1.0688737529698478,1.3110229564734344,1.4461573132075642,1.345730670676234,2.613183687402741,2.3734788575275205,4.828040562662703,2.458908908682284,2.2732830120890584,4.71210155869861,2.8072011297462085,3.6361884224714625
0.0,15.0,20.0,0.6623265958082836,0.6860541819044337,1.212403120326075,1.2907530115356467,1.0908184384533908,1.1370096513565255,0.5134271072108674,1.0548086175227311,0.4933772436680626,0.7385240891751561,0.6328709887149339,0.9328438703458415
0.0,15.0,12.0,1.039979789825678,1.1099067611356817,1.2129198606286062,1.175847285020214,2.730808550706974,1.8464819807917545,1.2666753015710284,1.7090048311472943,1.4039783582434002,0.9309224224890579,1.1982009516196914,1.6829252138149657
1.0,12.0,12.0,1.2033417461991123,1.036535506593742,1.2667777151460897,1.5424668364464593,0.8628843336112535,1.688743122449306,1.5246182516090707,3.2678825156373623,2.565766253631958,4.179279586792751,11.3067447155079,8.31746570226255
1.0,12.0,20.0,0.38847337732114995,0.6508769456785904,0.7537586826900564,0.8208702070082032,1.2106551571661528,1.1043232336900564,0.9926813537895824,1.1838989718465573,0.6687280295547077,0.8812137515528444,1.4205484005246491,0.6546875924477872
1.0,12.0,15.0,0.27734880798887074,0.28781893922818863,0.630492596932838,1.3403281587076474,0.6999986175689874,0.7310731191272628,0.3559248880527154,0.7214238684191348,0.4838461507665437,0.505784873262631,0.5179277269071219,0.8223903869220182
2.0,20.0,20.0,0.553557977578523,0.4559442921931596,0.342416142584996,0.571471150467726,0.9890142690491126,0.5519331041988021,0.638375556879896,0.6275091214742711,0.9512395817675579,0.9803225862018063,1.3567595972375326,1.3006576969654804
2.0,20.0,15.0,0.26281268943837127,0.42658728631206333,0.2997947826292464,0.3598673443691767,0.5659082200080708,0.7552033132657983,0.5711266259285618,0.9763592471061586,0.6830887740174281,0.6425081105245818,0.6425251572520795,0.7571909720226098
2.0,20.0,12.0,1.4046866946410894,1.3020593166903252,1.310305267520782,1.4113994412653321,1.5131863577395899,2.303790804387094,0.9790035054714944,1.496039107519125,1.034184411462254,1.5823534653754836,1.709462859766298,1.8451706565391284
3.0,15.0,15.0,1.3026917035772296,1.0628308374042068,0.9775432910254749,1.0620686737420573,1.5095104179878704,1.4530521573937185,2.5899082239293616,1.3489621992206238,1.6108413961082209,2.8495954918485475,2.811687399648941,4.491903071244396
3.0,15.0,20.0,0.3036379341383215,0.41720710528000965,0.5242904664670306,0.4562131948611218,0.696057264493104,0.7025138229272176,0.4588236453719783,0.6562904307327617,0.49200118516225555,0.370335956836272,0.538459177225065,0.723538095756868
3.0,15.0,12.0,1.2200280373605124,0.9669249106408913,1.1408687273839426,1.4852544762226363,2.1500103021929755,2.019364361988461,1.3519579856204356,1.6989039620643533,1.0167226329753072,1.6434840416383651,1.0199550886890578,1.1195619687488674
4.0,20.0,20.0,0.23660730992979334,0.2992996140337158,0.3905728105800232,0.5695135014484164,0.41972155348647644,0.37211610131969164,0.7886445868180013,0.47883466430600785,0.7875650723460788,1.0464618428743104,1.8118186480722254,0.5297508269644167
4.0,20.0,15.0,0.9725303661994812,0.6604738238613992,0.6611336753060743,0.7673436568317656,1.1541477308686101,1.4195585425641846,1.1087008729592414,1.4869128434092467,0.65698506265768,0.45221752929614634,0.8914510721365749,1.2982274642801377
4.0,20.0,12.0,0.860948212799918,0.8340635284921618,0.742014269746279,1.128503778279383,1.2963291535105483,1.340955280497615,1.1308479485555176,1.1702547535951529,0.8081653938865947,0.8952333197902818,0.9679542490374928,0.9761411151970973
5.0,12.0,12.0,2.4078425427839494,2.528677100298933,2.279944047292768,2.9679949938058017,3.0118476788512387,3.244042273407456,2.345521858535429,3.1959850013846345,3.676064593714443,5.380133327591592,13.579344162704178,7.199753386368501
5.0,12.0,20.0,0.4012545800357996,0.458696011617551,0.3450068712121779,0.5443467122884613,0.397859404852124,0.6866079910390039,0.7594145991970117,0.9252106224746496,0.6286616889577942,0.8399709660387257,0.8364980931763759,0.8035551783162164
5.0,12.0,15.0,0.6890871381163965,0.4298123255986217,0.5622232071562437,1.0876156860419441,0.7037430985625965,0.9570880183289832,0.6416650735620248,0.7903953869424056,0.638710226055668,0.8301545748477753,0.7661295967018872,0.752091200228242
6.0,20.0,20.0,0.4526861021451545,0.45040825203098767,0.4061394695167324,0.6709136200511215,0.4829232384641741,0.8167374826328163,0.5526027807823684,0.9361680886062677,0.6762227965538652,0.6786530243958022,1.354597552122251,0.8681058181054535
6.0,20.0,15.0,0.5916929654951681,0.5701561395898084,0.8198837602869293,0.9701365315464409,0.9050746076315779,0.7425311534996525,1.1486993097487324,1.0692119570751248,0.862749588929825,1.0274353969146501,1.710161613424103,1.6353320037254016
6.0,20.0,12.0,1.1359859167273834,1.1360101051477285,0.881378903627185,1.0795919902161852,1.715963747811666,1.1909628451653775,1.5271408417253438,1.5565186957921007,1.4299397514851409,1.79901771374393,1.290537417418646,1.506269582473427
7.0,15.0,15.0,1.1089046457905505,0.9868366746862454,1.0771401466920603,0.8444121723217091,1.7453895823194134,1.6847051141294795,3.8809724994152353,3.7426105429700276,2.6764653891734502,3.894481357584664,5.388157025854938,4.3698733273091195
7.0,15.0,20.0,0.9133695016767953,1.1108358519052752,1.3823568061338347,1.590791803846294,1.194726973816833,2.042028911790637,0.39503382655673724,0.893305352781942,0.5090384458365115,0.42791982201920686,1.037961133578831,0.7412339730749936
7.0,15.0,12.0,1.3742421088169372,1.1363691236088589,2.123134213589493,2.7827235489838977,1.8265050785922847,2.426315790980758,0.8074601499211151,1.9858000285991761,1.3844218499442205,2.28265489455955,2.016253486153367,2.1017652035298426
8.0,12.0,12.0,1.9809566186891017,1.7078382975124227,1.9334766953125189,2.5572481531829725,1.52351676481272,1.7132550523774972,1.3807521766287627,1.4018864208146873,2.6786902927692005,4.109092716857193,6.223578156679526,3.4787275499864085
